turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
2,0,0,0,0,0,0,0,0,0,60
7,0,0,0,0,0,1,1,0,1,21
10,1,0,2,0,0,2,2,0,2,1
14,2,2,2,0,0,2,2,0,2,1
18,3,0,3,0,1,2,2,0,2,14
22,3,1,3,0,0,3,2,0,2,1
26,3,2,4,0,0,3,2,0,2,15
30,3,2,2,1,1,3,2,0,2,16
34,2,3,2,0,0,3,3,0,3,1
38,2,3,3,0,0,3,3,0,3,1
42,4,3,1,2,0,3,3,0,3,25
46,3,1,3,1,1,3,2,1,4,15
50,4,1,4,2,1,4,2,1,4,29
54,3,4,1,2,0,4,3,1,5,31
58,8,1,2,0,1,4,2,2,6,15
62,3,3,4,1,0,5,2,2,6,30
1,0,0,0,0,0,0,0,0,0,72
8,0,0,0,0,0,1,1,0,1,1
12,0,1,3,1,0,2,2,0,2,1
16,1,1,0,1,1,2,2,0,2,14
20,0,2,1,2,0,3,2,0,2,1
24,0,3,2,2,1,3,2,0,2,3
28,0,0,2,3,1,3,1,1,3,1
32,0,2,2,3,1,3,1,1,3,1
36,1,6,2,2,1,3,1,1,3,40
40,1,1,3,2,0,4,0,2,4,6
44,1,1,3,4,0,4,0,2,4,15
48,1,1,3,4,0,4,0,2,4,15
52,1,1,3,2,1,4,0,2,4,16
56,1,1,2,1,3,4,1,2,5,15
60,0,1,0,3,3,5,1,2,5,1
64,0,3,2,5,4,5,1,2,5,26
68,1,0,2,5,8,5,0,3,6,28
72,0,0,1,2,11,5,1,3,7,2
76,1,0,1,2,3,5,1,3,7,8
80,0,0,3,2,5,6,1,3,7,12
84,0,0,3,2,13,6,1,3,7,12
88,0,0,1,3,16,6,1,3,7,22
3,0,0,0,0,0,0,0,0,0,57
6,0,0,0,0,0,1,1,0,1,36
11,2,1,0,1,1,2,2,0,2,9
15,1,2,1,1,0,3,2,0,2,1
19,1,2,1,1,2,3,2,0,2,10
23,0,2,1,1,1,3,3,0,3,1
27,0,2,1,2,3,3,3,0,3,1
31,0,3,1,2,0,3,3,0,3,9
35,0,1,1,0,1,3,2,1,4,1
39,1,1,0,0,3,3,2,1,4,14
43,0,3,0,0,2,4,2,1,4,1
47,0,3,0,1,3,4,2,1,4,1
51,0,4,0,2,2,4,2,1,4,30
55,0,1,0,0,3,4,1,2,5,1
59,0,2,4,2,0,4,1,2,5,19
63,2,2,4,4,1,4,1,2,5,33
1,0,0,0,0,0,0,0,0,0,72
8,0,0,0,0,0,1,1,0,1,1
12,0,1,2,0,3,2,2,0,2,1
16,0,3,3,1,3,2,2,0,2,1
20,0,4,3,2,1,2,2,0,2,24
24,0,2,3,2,1,2,1,1,3,1
28,0,3,3,2,1,2,1,1,3,2
32,1,1,1,2,1,2,0,2,4,12
36,0,3,3,4,0,3,0,2,4,6
40,1,1,7,4,0,3,0,2,4,14
44,1,1,5,6,1,3,0,2,4,26
48,0,2,4,5,0,3,1,2,5,10
52,0,3,4,4,4,3,1,2,5,31
56,0,0,8,2,4,3,0,3,6,17
60,1,0,8,6,4,3,0,3,6,28
64,1,0,12,2,7,4,0,3,6,38
68,1,2,14,2,2,5,0,3,6,30
4,0,0,0,0,0,0,0,0,0,48
11,0,2,1,1,0,2,2,0,2,1
15,0,2,1,3,1,2,2,0,2,1
19,1,2,1,3,2,2,2,0,2,8
23,0,2,2,3,1,3,2,0,2,1
27,1,2,3,3,2,3,2,0,2,9
31,1,2,2,3,2,3,3,0,3,8
35,1,2,3,4,1,4,3,0,3,54
39,0,3,3,0,0,5,3,0,3,6
43,1,5,3,2,0,5,3,0,3,22
47,2,2,0,0,2,5,2,1,4,82
51,2,1,0,0,2,6,2,1,4,82
55,1,2,0,2,1,7,2,1,4,10
59,0,2,1,3,0,8,2,1,4,1
63,0,5,1,3,0,8,2,1,4,10
3,0,0,0,0,0,0,0,0,0,51
6,0,0,0,0,0,1,1,0,1,30
11,0,1,1,2,0,2,2,0,2,1
15,0,2,2,3,0,2,2,0,2,1
19,1,2,2,3,0,2,2,0,2,1
23,2,3,3,3,0,2,2,0,2,3
27,3,2,1,1,1,2,1,1,3,13
