game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
0,2,0,0,0,0,0,0,0,0,0,63
0,7,0,0,0,0,0,1,1,0,1,24
0,10,1,0,0,0,2,2,2,0,2,9
0,14,1,0,0,0,3,3,2,0,2,9
0,18,2,0,0,0,3,4,2,0,2,46
0,22,2,0,0,0,2,6,2,0,2,67
0,26,4,0,0,0,2,7,2,0,2,162
0,30,6,1,0,0,3,7,2,0,2,914
0,34,7,1,0,0,4,7,2,0,2,2788
0,38,6,1,1,1,4,7,2,0,2,6750
0,42,6,1,0,0,2,8,3,0,3,474
0,46,4,1,2,1,2,8,3,0,3,586
0,50,1,2,1,1,2,9,4,0,4,183
0,54,6,2,2,0,1,9,5,0,5,127
0,58,2,3,6,1,0,10,5,0,5,32
0,62,5,5,2,2,1,10,5,0,5,400
0,66,5,2,4,2,3,10,4,1,6,3218
0,70,3,4,3,2,3,11,5,1,7,3056
1,3,0,0,0,0,0,0,0,0,0,51
1,6,0,0,0,0,0,1,1,0,1,30
1,11,2,0,0,1,0,2,2,0,2,1
1,15,4,1,0,1,0,2,2,0,2,6
1,19,0,1,0,2,0,2,2,0,2,6
1,23,2,1,1,3,0,2,2,0,2,1
1,27,2,1,1,3,0,2,2,0,2,1
1,31,4,1,1,4,0,2,2,0,2,17
1,35,4,1,3,5,0,2,2,0,2,17
1,39,6,2,3,2,0,2,2,0,2,22
1,43,2,4,3,3,0,2,2,0,2,36
1,47,5,1,5,1,0,2,1,1,3,22
1,51,4,2,5,2,0,2,1,1,3,22
1,55,8,2,1,3,0,2,1,1,3,22
1,59,6,3,3,3,1,2,1,1,3,24
1,63,8,2,3,3,1,3,0,2,4,13
1,67,3,2,3,3,1,4,0,2,4,15
1,71,3,7,2,2,1,4,1,2,5,52
1,75,4,4,2,4,1,5,0,3,6,44
1,79,3,3,1,2,0,5,0,4,8,1
1,83,1,5,3,1,1,5,0,4,8,26
1,87,8,7,3,1,1,6,0,4,8,24
1,91,3,11,3,9,3,7,0,4,8,575
1,95,3,11,3,13,1,8,1,4,9,244
1,99,14,13,3,14,1,9,1,4,9,64
1,103,13,15,3,15,1,10,1,4,9,58
