game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
0,3,0,0,0,0,0,0,0,0,0,54
0,6,0,0,0,0,0,1,1,0,1,30
0,11,0,0,0,1,0,2,2,0,2,1
0,15,0,0,0,1,0,2,2,0,2,1
0,19,0,1,0,2,0,2,2,0,2,1
0,23,0,2,0,3,0,2,2,0,2,1
0,27,1,2,0,0,0,2,2,0,2,6
0,31,1,3,0,2,0,2,2,0,2,3
0,35,1,3,0,3,0,2,2,0,2,3
0,39,1,4,0,1,1,2,2,0,2,26
0,43,1,2,0,1,2,2,2,0,2,42
0,47,0,4,0,2,1,3,2,0,2,17
0,51,1,0,0,3,1,3,2,0,2,17
0,55,0,1,0,1,1,4,2,0,2,6
0,59,0,1,0,2,1,4,2,0,2,1
0,63,0,3,0,3,1,4,2,0,2,3
0,67,0,2,0,3,1,4,1,1,3,1
1,4,0,0,0,0,0,0,0,0,0,33
1,5,0,0,0,0,0,1,1,0,1,33
1,12,0,0,2,2,2,2,2,0,2,1
1,16,1,0,0,3,2,2,2,0,2,13
1,20,0,0,2,3,2,3,2,0,2,1
1,24,0,0,2,1,4,3,2,0,2,14
1,28,1,0,3,2,1,3,2,0,2,14
1,32,1,0,1,3,1,4,2,0,2,15
1,36,1,0,2,1,1,5,2,0,2,16
1,40,0,0,3,3,0,6,2,0,2,1
1,44,1,0,1,3,1,6,2,0,2,18
1,48,0,0,1,5,1,7,2,0,2,18
1,52,1,0,1,3,2,7,2,0,2,18
1,56,1,0,3,0,2,8,2,0,2,15
1,60,0,0,3,2,2,9,2,0,2,1
1,64,1,0,0,4,2,9,2,0,2,28
1,68,1,0,2,0,2,10,2,0,2,15
1,72,0,0,3,1,1,11,2,0,2,1
1,76,1,0,3,0,1,11,2,0,2,15
1,80,0,0,3,0,0,12,2,0,2,1
1,84,1,0,0,1,1,12,2,0,2,14
1,88,0,0,1,3,0,13,2,0,2,1
1,92,0,0,2,5,1,13,2,0,2,19
1,96,1,0,2,2,1,13,2,0,2,19
1,100,0,0,2,6,0,14,2,0,2,6
2,1,0,0,0,0,0,0,0,0,0,72
2,7,0,0,0,0,0,1,1,0,1,6
2,8,0,0,1,0,1,2,2,0,2,1
2,12,0,0,1,0,1,2,2,0,2,1
2,16,0,0,1,0,2,2,2,0,2,1
2,20,0,0,1,0,3,2,2,0,2,1
2,24,0,0,1,0,4,2,2,0,2,6
2,28,2,0,2,0,1,2,2,0,2,48
2,32,3,0,2,0,0,3,2,0,2,1
2,36,3,0,3,0,0,3,2,0,2,1
2,40,3,0,1,0,2,3,2,0,2,70
2,44,1,0,5,0,0,5,2,0,2,14
2,48,2,0,1,0,2,5,2,0,2,37
2,52,1,0,1,0,0,7,2,0,2,1
2,56,2,0,1,0,2,7,2,0,2,46
2,60,2,0,1,0,1,9,2,0,2,10
2,64,0,0,2,0,0,10,2,0,2,6
2,68,0,0,2,0,3,10,2,0,2,1
2,72,3,0,2,0,3,10,2,0,2,64
2,76,3,0,2,0,1,12,2,0,2,6
2,80,0,0,3,0,0,13,2,0,2,6
2,84,0,0,3,0,2,13,2,0,2,1
2,88,2,0,3,0,3,13,2,0,2,11
2,92,1,0,3,0,2,15,2,0,2,4
2,96,3,0,3,0,3,15,2,0,2,8
3,1,0,0,0,0,0,0,0,0,0,72
3,7,0,0,0,0,0,1,1,0,1,15
3,8,1,1,0,0,1,2,2,0,2,8
3,12,0,2,0,0,2,3,2,0,2,1
3,16,0,0,0,0,4,3,2,0,2,13
3,20,1,1,0,0,3,3,2,0,2,13
3,24,0,1,0,2,3,4,2,0,2,1
3,28,0,2,0,3,2,4,2,0,2,13
3,32,0,3,0,3,3,4,2,0,2,3
3,36,0,4,0,4,4,4,2,0,2,38
3,40,4,0,0,4,5,4,2,0,2,458
3,44,1,0,0,0,3,8,2,0,2,12
3,48,1,1,0,1,3,8,2,0,2,7
3,52,4,2,0,1,2,9,2,0,2,36
4,2,0,0,0,0,0,0,0,0,0,60
4,7,0,0,0,0,0,1,1,0,1,21
4,9,0,1,0,1,0,2,2,0,2,1
4,13,0,2,1,1,0,2,2,0,2,1
4,17,0,3,2,1,0,2,2,0,2,1
4,21,1,3,2,1,0,2,2,0,2,1
4,25,1,0,3,1,1,2,2,0,2,14
4,29,1,1,3,2,0,3,2,0,2,1
4,33,2,1,3,2,0,3,2,0,2,1
4,37,2,3,3,3,0,3,2,0,2,3
4,41,2,0,2,1,1,3,1,1,3,13
4,45,2,0,2,1,1,3,1,1,3,8
4,49,3,2,2,1,0,4,1,1,3,1
4,53,3,4,2,1,1,4,1,1,3,27
4,57,3,4,6,1,1,4,1,1,3,158
4,61,4,1,7,1,0,5,1,1,3,34
4,65,4,2,9,1,0,5,1,1,3,19
4,69,4,4,7,1,1,5,1,1,3,34
4,73,3,1,9,1,1,6,1,1,3,29
4,77,3,0,9,2,1,6,1,1,3,156
5,1,0,0,0,0,0,0,0,0,0,72
5,7,0,0,0,0,0,1,1,0,1,12
5,8,0,1,1,0,0,2,2,0,2,1
5,12,2,1,1,0,1,2,2,0,2,9
5,16,1,2,2,0,1,3,2,0,2,10
5,20,2,2,2,0,1,3,2,0,2,10
5,24,2,3,3,0,0,4,2,0,2,1
5,28,1,4,3,0,0,4,2,0,2,14
5,32,3,0,3,0,1,4,2,0,2,14
5,36,3,0,1,0,2,5,2,0,2,97
5,40,2,1,1,0,1,7,2,0,2,11
5,44,1,1,1,0,3,8,2,0,2,10
5,48,0,1,3,0,2,9,2,0,2,1
5,52,1,1,3,0,2,9,2,0,2,10
5,56,1,1,0,0,2,10,2,0,2,16
5,60,1,1,0,0,2,11,2,0,2,9
5,64,0,2,0,0,2,12,2,0,2,1
5,68,1,2,2,0,2,12,2,0,2,9
5,72,0,2,3,0,3,13,2,0,2,1
